id,name,smiles,inchikey,kegg,chebi,role,is_monomer,is_currency,formula,charge,mass
cpd_MNXM744941,Tryptophanyl-Lysine,N[C@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CCCC[NH3+])C(=O)O,DZHDVYLBNKMLMB-HIFRSBDPSA-O,,,intermediate,false,false,C17H25N4O3,1,333.41200
cpd_MNXM744943,Tryptophanyl-Methionyl-Valine,CSCC[C@H](NC(=O)[C@H](N)CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](C(=O)O)C(C)C,NFVQCNMGJILYMI-BPQIPLTHSA-N,,,intermediate,false,false,C21H30N4O4S,0,434.56200
cpd_MNXM744946,Tryptophanyl-Prolyl-Leucine,CC(C)C[C@@H](NC(=O)[C@H]1CCCN1C(=O)[C@H](N)CC1=CNC2=C1C=CC=C2)C(=O)O,XOLLWQIBBLBAHQ-BHIYHBOVSA-N,,,intermediate,false,false,C22H30N4O4,0,414.50600
cpd_MNXM744947,Tryptophanyl-Prolyl-Valine,CC(C)[C@@H](NC(=O)[C@H]1CCCN1C(=O)[C@H](N)CC1=CNC2=C1C=CC=C2)C(=O)O,JEYRCNVVYHTZMY-KBAYOESNSA-N,,,intermediate,false,false,C21H28N4O4,0,400.47900
cpd_MNXM744949,Tryptophanyl-Threonyl-Glutamate,C[C@@H](O)[C@H](NC(=O)[C@H](N)CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CCC(=O)[O-])C(=O)O,DTPWXZXGFAHEKL-ZQPYQELRSA-M,,,intermediate,false,false,C20H25N4O7,-1,433.44100
cpd_MNXM744950,Tryptophanyl-Threonyl-Isoleucine,CCC(C)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](N)CC1=CNC2=C1C=CC=C2)[C@@H](C)O)C(=O)O,WBZOZLNLXVBCNW-WSKHPONASA-N,,,intermediate,false,false,C21H30N4O5,0,418.49400
cpd_MNXM744951,Tryptophanyl-Threonyl-Tyrosine,C[C@@H](O)[C@H](NC(=O)[C@H](N)CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC1=CC=C(O)C=C1)C(=O)O,WTRQBSSQBKRNKV-NDKINLCJSA-N,,,intermediate,false,false,C24H28N4O6,0,468.51000
cpd_MNXM744952,Trp-Tyr-Gln,NC(=O)CC[C@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@@H](N)CC1=CNC2=C1C=CC=C2)C(=O)O,PKZIWSHDJYIPRH-JBACZVJFSA-N,,,intermediate,false,false,C25H29N5O6,0,495.53600
cpd_MNXM744954,Tryptophanyl-Valyl-Aspartate,CC(C)[C@H](NC(=O)[C@H](N)CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(=O)[O-])C(=O)O,RKISDJMICOREEL-UNEWFSDZSA-M,,,intermediate,false,false,C20H25N4O6,-1,417.44200
cpd_MNXM744959,Tyrosyl-Arginyl-Glutamate,NC(=[NH2+])NCCC[C@H](NC(=O)[C@H](N)CC1=CC=C(O)C=C1)C(=O)N[C@H](CCC(=O)[O-])C(=O)O,HTHCZRWCFXMENJ-QLFBSQMISA-N,,,intermediate,false,false,C20H30N6O7,0,466.49500
